name,tipologia,wikidata_id,wikidata_label,birth_year,death_year,matched_as,match_status
Betti Ugo,Compagni di guerra e di prigionia,Q919103,Ugo Betti,1892,1953,Ugo Betti [it],found
Bevilacqua Sandro,Contatti letterari,Q126877422,Sandro Bevilacqua,1913,1985,Sandro Bevilacqua [it],found
Bianchi Bandinelli Ranuccio,Contatti letterari,Q471179,Ranuccio Bianchi Bandinelli,1900,1975,Ranuccio Bianchi Bandinelli [it],found
Bianchi Icilio,Contatti letterari,,,,,,not_found
Bianchini Bianca,Varia,Q96252911,Bianca Bianchini,1951,,Bianca Bianchini [it],found
Bies J. P.,Varia,,,,,,not_found
Bigongiari Piero,Contatti letterari,Q3903171,Piero Bigongiari,1914,1997,Piero Bigongiari [it],found
Bilenchi Mario,Contatti letterari,,,,,,not_found
Bilenchi Romano,Contatti letterari,Q1622100,Romano Bilenchi,1909,1989,Romano Bilenchi [it],found
Binni Piero,Varia,,,,,,not_found
Binni Walter,Contatti letterari,Q4017881,Walter Binni,1913,1997,Walter Binni [it],found
Biraghi Lossetti Italo,Varia,,,,,,not_found
Biroli,Varia,Q57307175,Biroli,,,Biroli [it],found_no_dates
Blanc Gian Alberto,Ingegneria e divulgazione tecnica,Q3762573,Gian Alberto Blanc,1879,1966,Gian Alberto Blanc [it],found
Bo Carlo,Contatti letterari,Q1041908,Carlo Bo,1911,2001,Carlo Bo [it],found
Bo Laura,Contatti letterari,,,,,,not_found
Bocelli Arnaldo,Contatti letterari,Q3623474,Arnaldo Bocelli,1900,1974,Arnaldo Bocelli [it],found
Boffa Ettore,Varia,,,,,,not_found
Boggio Marzet Albino,Compagni di guerra e di prigionia,,,,,,not_found
Bognetti Giovanni,Varia,Q55225717,Giovanni Bognetti,1868,1935,Giovanni Bognetti [it],found
Boldini M. G.,Varia,,,,,,not_found
Bollati Giulio,Contatti letterari,Q3769505,Giulio Bollati,1924,1996,Giulio Bollati [it],found
Bompiani (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Bompiani Valentino,"Editori, riviste e quotidiani",Q1052458,Valentino Bompiani,1898,1992,Valentino Bompiani [it],found
Bonacci Libreria Editrice,"Editori, riviste e quotidiani",,,,,,not_found
Bonacelli Paolo,Varia,Q435677,Paolo Bonacelli,1937,2025,Paolo Bonacelli [it],found
Bonalumi Louis,Contatti letterari,Q88800210,Louis Bonalumi,1922,2004,Louis Bonalumi [en],found
Bonotti Giuseppe,Varia,,,,,,not_found
Bonsanti Alessandro,Contatti letterari,Q3609870,Alessandro Bonsanti,1904,1984,Alessandro Bonsanti [it],found
Bonzani Carlo Bartolomeo,Varia,,,,,,not_found
Borellini Guido,Varia,,,,,,not_found
Borenghi Aldo,Varia,,,,,,not_found
Bossi Luigi,Varia,Q3839377,Luigi Bossi,,,Luigi Bossi [it],found_no_dates
Bottai Giuseppe,Contatti letterari,Q751205,Giuseppe Bottai,1895,1959,Giuseppe Bottai [it],found
Bottega di poesia (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Bottoni L.,Varia,,,,,,not_found
Bovati,Varia,Q99884501,Bovati,,,Bovati [it],found_no_dates
Bovati T.,Varia,,,,,,not_found
Bozza Tommaso,Contatti letterari,Q93268295,Tommaso Bozza,1903,2004,Tommaso Bozza [it],found
Brandi Cesare,Contatti letterari,Q1056780,Cesare Brandi,1906,1988,Cesare Brandi [it],found
Branzi Silvio,Contatti letterari,Q18155961,Silvio Branzi,1899,1976,Silvio Branzi [it],found
Bregani Rino,Varia,,,,,,not_found
Bronn J.,Ingegneria e divulgazione tecnica,,,,,,not_found
Brosio Gino,Contatti letterari,,,,,,not_found
Brugnoli Bruno,Varia,,,,,,not_found
Brunacci Argia e Giorgio,Contatti letterari,,,,,,not_found
Brunacci Lena,Varia,,,,,,not_found
Brunelli Fausto,Varia,,,,,,not_found
Bruno Ermanno,Varia,,,,,,not_found
Bugidami L.,Varia,,,,,,not_found
Burzio Filippo,Contatti letterari,Q3745125,Filippo Burzio,1891,1948,Filippo Burzio [it],found
Bussidori Piero,Varia,,,,,,not_found
Butti Enrique,Contatti letterari,Q120170026,Enrique Butti,1971,,Enrique Butti [en],found
Buzzati Dino,Contatti letterari,Q242095,Dino Buzzati,1906,1972,Dino Buzzati [en],found
Buzzi Rinaldo,Varia,,,,,,not_found
Cabella Giorgio,Contatti letterari,Q131424788,Giorgio Cabella,1909,1986,Giorgio Cabella [it],found
Cacherano d’Osasco Decio Carolina,Varia,,,,,,not_found
Caligaris Francesco,Varia,Q3749706,Francesco Caligaris,1824,1895,Francesco Caligaris [it],found
Caligaris Maria,Varia,,,,,,not_found
Calissano Luigi,Ingegneria e divulgazione tecnica,,,,,,not_found
Calleri Guido,Varia,Q89362145,Guido Calleri,,,Guido Calleri [en],found_no_dates
Camerino Aldo,Contatti letterari,Q27916023,Aldo Camerino,1901,1966,Aldo Camerino [it],found
Campagnoli M.,Varia,,,,,,not_found
Canossi Invernici Ada,Varia,,,,,,not_found
Capasso Aldo,Contatti letterari,Q3609149,Aldo Capasso,1909,1997,Aldo Capasso [it],found
Capobianco Vincenzo,Varia,,,,,,not_found
Caprotti Bettina,Varia,,,,,,not_found
Caprotti Giuseppe,Varia,Q55226488,Giuseppe Caprotti,1862,1919,Giuseppe Caprotti [it],found
Carabba R. (casa editrice),"Editori, riviste e quotidiani",,,,,,not_found
Carboncini Enzo,Varia,,,,,,not_found
Caretti Lanfranco,Contatti letterari,Q3826843,Lanfranco Caretti,1915,1995,Lanfranco Caretti [it],found
Carli O.,Varia,,,,,,not_found
Carocci Alberto,Contatti letterari,Q3608203,Alberto Carocci,1904,1972,Alberto Carocci [it],found
Carocci Eva,Contatti letterari,,,,,,not_found
Carolina Power & Light Company,Varia,,,,,,not_found
Carrozzari R.,Varia,,,,,,not_found
Carusi Nicolina,Varia,,,,,,not_found
Casa d'Europa,"Istituzioni, associazioni ed enti pubblici",,,,,,not_found
Casella Alberto,Contatti letterari,Q3608205,Alberto Casella,1891,1957,Alberto Casella [it],found
Cases Anna e Cesare,Contatti letterari,,,,,,not_found
